Feature,Signal_Exp,DT_plus_HT,DN_plus_HN
detail,0.0035501550323620307,0.02522008511342125,0.03364999554025487
r_directionality,0.005715435618889247,0.01332572895984216,0.05543040863473393
theta_directionality,0.005370915333590731,0.011846859892512086,0.056280944106154356
brightness,0.0020303355338835666,0.010790454765404722,0.022386072931445677
contrast,0.0007120233296478435,0.005025715359881023,0.007032553145206794
