condition_code,condition_name,png_filename,focal_x_norm,focal_y_norm,detail_raw,detail,r_directionality_raw,r_directionality,theta_directionality_raw,theta_directionality,brightness_raw,brightness,contrast_raw,contrast,curvilinearity_raw,curvilinearity,complexity_ratio_raw,complexity_ratio,blur_raw,blur
B10,Image B10,B10.png,0.0,0.0,0.029548563,1.3237923,0.89738816,1.2385572,0.0066834544,0.008452985,0.35088694,0.35088694,0.30562386,0.30562386,0.0381896,0.0381896,3.7852595e+06,3.7852595e+06,27.55506,27.55506
B11,Image B11,B11.png,0.0,0.0,0.04357493,1.9521813,0.90970063,1.2555506,0.0036487463,0.0046147993,0.06798762,0.06798762,0.089072265,0.089072265,0.06253628,0.06253628,5.7693505e+06,5.7693505e+06,189.52477,189.52477
B12,Image B12,B12.png,0.0,0.0,0.016620334,0.74460036,0.26138896,0.36076382,0.27512085,0.34796268,0.24239975,0.24239975,0.25702617,0.25702617,0.010420426,0.010420426,3.0156318e+06,3.0156318e+06,75.94512,75.94512
B13,Image B13,B13.png,0.0,0.0,0.019144187,0.85767037,0.80685586,1.1136063,0.029369859,0.037145913,0.5143591,0.5143591,0.25821882,0.25821882,0.056466296,0.056466296,4.4748665e+06,4.4748665e+06,26.294497,26.294497
B14,Image B14,B14.png,0.0,0.0,0.020090606,0.9000705,0.30721733,0.42401522,0.26780468,0.33870944,0.44642618,0.44642618,0.14467718,0.14467718,0.033924073,0.033924073,4.949389e+06,4.949389e+06,77.08119,77.08119
C00,Image C00,C00.png,0.0,0.0,0.043506674,1.9491235,0.8717903,1.2032275,0.06468306,0.08180874,0.4742875,0.4742875,0.28019404,0.28019404,0.070228264,0.070228264,3.4518198e+06,3.4518198e+06,20.383766,20.383766
C01,Image C01,C01.png,0.0,0.0,0.04123319,1.8472701,0.83719325,1.1554774,0.005834905,0.0073797717,0.11113507,0.11113507,0.13407896,0.13407896,0.05848861,0.05848861,5.046245e+06,5.046245e+06,97.79742,97.79742
C02,Image C02,C02.png,0.0,0.0,0.01475223,0.6609082,0.2794548,0.38569793,0.28988945,0.36664146,0.73836905,0.73836905,0.025023367,0.025023367,0.11587047,0.11587047,1.2738282e+07,1.2738282e+07,2748.264,2748.264
C03,Image C03,C03.png,0.0,0.0,0.046399906,2.078742,0.008452349,0.011665763,0.7989009,1.0104203,0.20619182,0.20619182,0.0764699,0.0764699,0.06873476,0.06873476,6.8814955e+06,6.8814955e+06,283.10837,283.10837
C04,Image C04,C04.png,0.0,0.0,0.047643192,2.1344419,0.28933802,0.39933854,0.25863042,0.32710618,0.17191757,0.17191757,0.2588209,0.2588209,0.09057445,0.09057445,3.0037812e+06,3.0037812e+06,24.773483,24.773483
C05,Image C05,C05.png,0.0,0.0,0.0148475785,0.6651799,0.267721,0.36950317,0.3053656,0.3862151,0.13102864,0.13102864,0.10856707,0.10856707,0.061430987,0.061430987,7.370841e+06,7.370841e+06,259.4541,259.4541
C06,Image C06,C06.png,0.0,0.0,0.050899714,2.280336,0.008373085,0.011556365,0.7992641,1.0108796,0.37748784,0.37748784,0.21089096,0.21089096,0.07124448,0.07124448,4.439599e+06,4.439599e+06,35.468014,35.468014
C07,Image C07,C07.png,0.0,0.0,0.018309347,0.8202691,0.29277655,0.40408435,0.2818075,0.3564197,0.65346116,0.65346116,0.19795932,0.19795932,0.0983816,0.0983816,5.4145825e+06,5.4145825e+06,48.125393,48.125393
C08,Image C08,C08.png,0.0,0.0,0.023776084,1.065182,0.47344735,0.65344256,0.14986259,0.18954065,0.48462534,0.48462534,0.29612875,0.29612875,0.1154124,0.1154124,4.2296615e+06,4.2296615e+06,15.379001,15.379001
C09,Image C09,C09.png,0.0,0.0,0.05284795,2.367618,0.008123541,0.011211949,0.79827106,1.0096236,0.4185229,0.4185229,0.106534235,0.106534235,0.08406665,0.08406665,4.2194485e+06,4.2194485e+06,78.58222,78.58222
C10,Image C10,C10.png,0.0,0.0,0.018051103,0.8086996,0.22188483,0.306241,0.3609896,0.4565663,0.28526634,0.28526634,0.10094193,0.10094193,0.08411516,0.08411516,7.1173175e+06,7.1173175e+06,193.52031,193.52031
C11,Image C11,C11.png,0.0,0.0,0.024674255,1.1054206,0.2911792,0.40187973,0.2852526,0.36077693,0.24111335,0.24111335,0.24336314,0.24336314,0.10625515,0.10625515,4.7922075e+06,4.7922075e+06,28.309488,28.309488
C12,Image C12,C12.png,0.0,0.0,0.0213123,0.95480305,0.276033,0.38097525,0.30471024,0.38538623,0.48035198,0.48035198,0.43838632,0.43838632,0.07484367,0.07484367,3.6777248e+06,3.6777248e+06,11.691139,11.691139
C13,Image C13,C13.png,0.0,0.0,0.045828685,2.053151,0.30988324,0.42769465,0.4999807,0.63235706,0.13644888,0.13644888,0.0335324,0.0335324,0.12985422,0.12985422,1.0094675e+07,1.0094675e+07,1445.2316,1445.2316
C14,Image C14,C14.png,0.0,0.0,0.043073874,1.9297339,0.31762066,0.43837368,0.285162,0.36066234,0.47041738,0.47041738,0.1333833,0.1333833,0.13591336,0.13591336,4.994888e+06,4.994888e+06,50.963745,50.963745
