participant_code,condition_code,condition_name,condition_hz,condition_type,stimulus_type,trialn,png_filename,focal_x_norm,focal_y_norm,detail_raw,detail,r_directionality_raw,r_directionality,theta_directionality_raw,theta_directionality,brightness_raw,brightness,contrast_raw,contrast
XJM3765,2,5 Hz,5.0,EXPERIMENTAL,LIGHT,11,saveTime_2510251335__sessionTime_202510251200__participant_XJM3765__trialN_11__trialT_2__fileType_uncropped.png,0.0,0.0,0.0004759585,0.021723723,0.58993506,0.8155277,0.11648211,0.1492137,0.4993048,0.4993048,0.20059934,0.20059934
MTB6643,2,5 Hz,5.0,EXPERIMENTAL,LIGHT,11,saveTime_2510251336__sessionTime_202510251200__participant_MTB6643__trialN_11__trialT_2__fileType_cropped.png,0.0,0.0,0.0038700912,0.1766389,0.26465133,0.36585465,0.43493864,0.55715686,0.91528773,0.91528773,0.22585987,0.22585987
MTB6643,2,5 Hz,5.0,EXPERIMENTAL,LIGHT,11,saveTime_2510251336__sessionTime_202510251200__participant_MTB6643__trialN_11__trialT_2__fileType_uncropped.png,0.0,0.0,0.003967692,0.1810936,0.26134703,0.36128676,0.43897668,0.5623296,0.9129335,0.9129335,0.22857855,0.22857855
DIB8045,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,12,saveTime_2510251345__sessionTime_202510251200__participant_DIB8045__trialN_12__trialT_5__fileType_cropped.png,0.0,0.0,0.01584495,0.723196,0.44775873,0.61898273,0.25603655,0.3279831,0.98643655,0.98643655,0.015391097,0.015391097
DIB8045,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,12,saveTime_2510251345__sessionTime_202510251200__participant_DIB8045__trialN_12__trialT_5__fileType_uncropped.png,0.0,0.0,0.016167069,0.7378982,0.45100394,0.62346894,0.25534052,0.3270915,0.98696744,0.98696744,0.015305377,0.015305377
TMF6973,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,12,saveTime_2510251345__sessionTime_202510251200__participant_TMF6973__trialN_12__trialT_5__fileType_cropped.png,0.0,0.0,0.00043723427,0.019956268,0.049664624,0.0686565,0.63945746,0.81914574,0.7333595,0.7333595,0.23680125,0.23680125
TMF6973,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,12,saveTime_2510251345__sessionTime_202510251200__participant_TMF6973__trialN_12__trialT_5__fileType_uncropped.png,0.0,0.0,0.0004476586,0.020432057,0.04915902,0.06795755,0.646002,0.82752925,0.74085253,0.74085253,0.22686598,0.22686598
XJM3765,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,12,saveTime_2510251345__sessionTime_202510251200__participant_XJM3765__trialN_12__trialT_5__fileType_cropped.png,0.0,0.0,0.0005450812,0.024878625,0.4532807,0.6266163,0.14774276,0.18925864,0.80747116,0.80747116,0.16237053,0.16237053
XJM3765,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,12,saveTime_2510251345__sessionTime_202510251200__participant_XJM3765__trialN_12__trialT_5__fileType_uncropped.png,0.0,0.0,0.00055721466,0.02543242,0.4533532,0.62671655,0.14744474,0.18887687,0.8017817,0.8017817,0.16155848,0.16155848
BMJ6428,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,12,saveTime_2510251346__sessionTime_202510251200__participant_BMJ6428__trialN_12__trialT_5__fileType_cropped.png,0.0,0.0,0.0032746063,0.14945975,0.27544102,0.38077033,0.2717458,0.34810668,0.8022388,0.8022388,0.023265278,0.023265278
BMJ6428,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,12,saveTime_2510251346__sessionTime_202510251200__participant_BMJ6428__trialN_12__trialT_5__fileType_uncropped.png,0.0,0.0,0.003333514,0.15214843,0.27757883,0.38372564,0.26994747,0.345803,0.80312943,0.80312943,0.023325818,0.023325818
MTB6643,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,12,saveTime_2510251346__sessionTime_202510251200__participant_MTB6643__trialN_12__trialT_5__fileType_cropped.png,0.0,0.0,0.010315683,0.47082892,0.5607518,0.77518463,0.09012357,0.11544839,0.8432882,0.8432882,0.27516982,0.27516982
MTB6643,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,12,saveTime_2510251346__sessionTime_202510251200__participant_MTB6643__trialN_12__trialT_5__fileType_uncropped.png,0.0,0.0,0.010519898,0.48014972,0.56008345,0.7742607,0.09056958,0.116019726,0.8397099,0.8397099,0.27731147,0.27731147
BMJ6428,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,13,saveTime_2510251349__sessionTime_202510251200__participant_BMJ6428__trialN_13__trialT_3__fileType_cropped.png,0.0,0.0,0.011179031,0.5102339,0.364332,0.5036534,0.23837943,0.3053643,0.74207217,0.74207217,0.24485119,0.24485119
BMJ6428,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,13,saveTime_2510251349__sessionTime_202510251200__participant_BMJ6428__trialN_13__trialT_3__fileType_uncropped.png,0.0,0.0,0.011252809,0.5136013,0.36168018,0.49998754,0.24335732,0.311741,0.7411198,0.7411198,0.24554765,0.24554765
TMF6973,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,13,saveTime_2510251349__sessionTime_202510251200__participant_TMF6973__trialN_13__trialT_3__fileType_cropped.png,0.0,0.0,0.0005470794,0.024969827,0.093935356,0.12985647,0.52606875,0.67389464,0.6788342,0.6788342,0.1723185,0.1723185
TMF6973,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,13,saveTime_2510251349__sessionTime_202510251200__participant_TMF6973__trialN_13__trialT_3__fileType_uncropped.png,0.0,0.0,0.0005701333,0.026022054,0.08919194,0.12329916,0.53482884,0.68511635,0.6766353,0.6766353,0.17140499,0.17140499
XJM3765,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,13,saveTime_2510251349__sessionTime_202510251200__participant_XJM3765__trialN_13__trialT_3__fileType_cropped.png,0.0,0.0,0.00052470434,0.023948582,0.62755734,0.8675368,0.10725054,0.13738807,0.62444866,0.62444866,0.1838808,0.1838808
XJM3765,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,13,saveTime_2510251349__sessionTime_202510251200__participant_XJM3765__trialN_13__trialT_3__fileType_uncropped.png,0.0,0.0,0.00053078856,0.024226278,0.6279613,0.8680952,0.109399006,0.14014025,0.62286925,0.62286925,0.18274063,0.18274063
DIB8045,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,13,saveTime_2510251350__sessionTime_202510251200__participant_DIB8045__trialN_13__trialT_3__fileType_cropped.png,0.0,0.0,0.0032079192,0.14641601,0.30198658,0.41746697,0.4242961,0.5435238,0.95675844,0.95675844,0.015273708,0.015273708
DIB8045,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,13,saveTime_2510251350__sessionTime_202510251200__participant_DIB8045__trialN_13__trialT_3__fileType_uncropped.png,0.0,0.0,0.0032702007,0.14925867,0.30499893,0.42163128,0.42225516,0.5409093,0.9565311,0.9565311,0.015332537,0.015332537
MTB6643,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,13,saveTime_2510251350__sessionTime_202510251200__participant_MTB6643__trialN_13__trialT_3__fileType_cropped.png,0.0,0.0,0.013708093,0.6256655,0.5555195,0.76795155,0.12209039,0.15639792,0.7730429,0.7730429,0.19095086,0.19095086
MTB6643,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,13,saveTime_2510251350__sessionTime_202510251200__participant_MTB6643__trialN_13__trialT_3__fileType_uncropped.png,0.0,0.0,0.013817737,0.63066983,0.5557668,0.7682934,0.12383544,0.15863334,0.7722208,0.7722208,0.1916026,0.1916026
