participant_code,condition_code,condition_name,condition_hz,condition_type,stimulus_type,trialn,png_filename
P301,7,80 Hz,80.0,CONTROL,LIGHT,2,saveTime_2510171012__sessionTime_202510170920__participant_P301__trialN_2__trialT_7__fileType_cropped.png
P302,7,80 Hz,80.0,CONTROL,LIGHT,2,saveTime_2510171013__sessionTime_202510170920__participant_P302__trialN_2__trialT_7__fileType_cropped.png
P303,7,80 Hz,80.0,CONTROL,LIGHT,2,saveTime_2510171013__sessionTime_202510170920__participant_P303__trialN_2__trialT_7__fileType_cropped.png
P304,7,80 Hz,80.0,CONTROL,LIGHT,2,saveTime_2510171013__sessionTime_202510170920__participant_P304__trialN_2__trialT_7__fileType_cropped.png
P305,7,80 Hz,80.0,CONTROL,LIGHT,2,saveTime_2510171013__sessionTime_202510170920__participant_P305__trialN_2__trialT_7__fileType_cropped.png
P302,2,5 Hz,5.0,EXPERIMENTAL,LIGHT,3,saveTime_2510171017__sessionTime_202510170920__participant_P302__trialN_3__trialT_2__fileType_cropped.png
P303,2,5 Hz,5.0,EXPERIMENTAL,LIGHT,3,saveTime_2510171017__sessionTime_202510170920__participant_P303__trialN_3__trialT_2__fileType_cropped.png
P304,2,5 Hz,5.0,EXPERIMENTAL,LIGHT,3,saveTime_2510171017__sessionTime_202510170920__participant_P304__trialN_3__trialT_2__fileType_cropped.png
P301,2,5 Hz,5.0,EXPERIMENTAL,LIGHT,3,saveTime_2510171017__sessionTime_202510170920__participant_P301__trialN_3__trialT_2__fileType_cropped.png
P305,2,5 Hz,5.0,EXPERIMENTAL,LIGHT,3,saveTime_2510171017__sessionTime_202510170920__participant_P305__trialN_3__trialT_2__fileType_cropped.png
P303,B10,,,VALIDATION,IMAGE,4,saveTime_2510171020__sessionTime_202510170920__participant_P303__trialN_4__trialT_B10__fileType_cropped.png
P301,B09,,,VALIDATION,IMAGE,4,saveTime_2510171020__sessionTime_202510170920__participant_P301__trialN_4__trialT_B09__fileType_cropped.png
P305,B12,,,VALIDATION,IMAGE,4,saveTime_2510171020__sessionTime_202510170920__participant_P305__trialN_4__trialT_B12__fileType_cropped.png
P302,B09,,,VALIDATION,IMAGE,4,saveTime_2510171021__sessionTime_202510170920__participant_P302__trialN_4__trialT_B09__fileType_cropped.png
P304,B05,,,VALIDATION,IMAGE,4,saveTime_2510171021__sessionTime_202510170920__participant_P304__trialN_4__trialT_B05__fileType_cropped.png
P301,2,5 Hz,5.0,EXPERIMENTAL,LIGHT,5,saveTime_2510171023__sessionTime_202510170920__participant_P301__trialN_5__trialT_2__fileType_cropped.png
P302,2,5 Hz,5.0,EXPERIMENTAL,LIGHT,5,saveTime_2510171024__sessionTime_202510170920__participant_P302__trialN_5__trialT_2__fileType_cropped.png
P304,2,5 Hz,5.0,EXPERIMENTAL,LIGHT,5,saveTime_2510171024__sessionTime_202510170920__participant_P304__trialN_5__trialT_2__fileType_cropped.png
P305,2,5 Hz,5.0,EXPERIMENTAL,LIGHT,5,saveTime_2510171024__sessionTime_202510170920__participant_P305__trialN_5__trialT_2__fileType_cropped.png
P303,2,5 Hz,5.0,EXPERIMENTAL,LIGHT,5,saveTime_2510171025__sessionTime_202510170920__participant_P303__trialN_5__trialT_2__fileType_cropped.png
P304,C09,,,VALIDATION,IMAGE,6,saveTime_2510171037__sessionTime_202510170920__participant_P304__trialN_6__trialT_C09__fileType_cropped.png
P302,C14,,,VALIDATION,IMAGE,6,saveTime_2510171038__sessionTime_202510170920__participant_P302__trialN_6__trialT_C14__fileType_cropped.png
P303,C04,,,VALIDATION,IMAGE,6,saveTime_2510171038__sessionTime_202510170920__participant_P303__trialN_6__trialT_C04__fileType_cropped.png
P301,C00,,,VALIDATION,IMAGE,6,saveTime_2510171038__sessionTime_202510170920__participant_P301__trialN_6__trialT_C00__fileType_cropped.png
P305,C05,,,VALIDATION,IMAGE,6,saveTime_2510171038__sessionTime_202510170920__participant_P305__trialN_6__trialT_C05__fileType_cropped.png
P302,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,7,saveTime_2510171041__sessionTime_202510170920__participant_P302__trialN_7__trialT_4__fileType_cropped.png
P304,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,7,saveTime_2510171041__sessionTime_202510170920__participant_P304__trialN_7__trialT_4__fileType_cropped.png
P301,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,7,saveTime_2510171041__sessionTime_202510170920__participant_P301__trialN_7__trialT_4__fileType_cropped.png
P305,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,7,saveTime_2510171041__sessionTime_202510170920__participant_P305__trialN_7__trialT_4__fileType_cropped.png
P303,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,7,saveTime_2510171042__sessionTime_202510170920__participant_P303__trialN_7__trialT_4__fileType_cropped.png
P302,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,8,saveTime_2510171045__sessionTime_202510170920__participant_P302__trialN_8__trialT_5__fileType_cropped.png
P304,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,8,saveTime_2510171045__sessionTime_202510170920__participant_P304__trialN_8__trialT_5__fileType_cropped.png
P301,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,8,saveTime_2510171045__sessionTime_202510170920__participant_P301__trialN_8__trialT_5__fileType_cropped.png
P305,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,8,saveTime_2510171045__sessionTime_202510170920__participant_P305__trialN_8__trialT_5__fileType_cropped.png
P303,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,8,saveTime_2510171046__sessionTime_202510170920__participant_P303__trialN_8__trialT_5__fileType_cropped.png
P301,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,9,saveTime_2510171048__sessionTime_202510170920__participant_P301__trialN_9__trialT_3__fileType_cropped.png
P302,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,9,saveTime_2510171049__sessionTime_202510170920__participant_P302__trialN_9__trialT_3__fileType_cropped.png
P303,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,9,saveTime_2510171049__sessionTime_202510170920__participant_P303__trialN_9__trialT_3__fileType_cropped.png
P304,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,9,saveTime_2510171049__sessionTime_202510170920__participant_P304__trialN_9__trialT_3__fileType_cropped.png
P305,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,9,saveTime_2510171049__sessionTime_202510170920__participant_P305__trialN_9__trialT_3__fileType_cropped.png
P302,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,10,saveTime_2510171052__sessionTime_202510170920__participant_P302__trialN_10__trialT_4__fileType_cropped.png
P303,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,10,saveTime_2510171052__sessionTime_202510170920__participant_P303__trialN_10__trialT_4__fileType_cropped.png
P304,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,10,saveTime_2510171052__sessionTime_202510170920__participant_P304__trialN_10__trialT_4__fileType_cropped.png
P301,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,10,saveTime_2510171052__sessionTime_202510170920__participant_P301__trialN_10__trialT_4__fileType_cropped.png
P305,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,10,saveTime_2510171053__sessionTime_202510170920__participant_P305__trialN_10__trialT_4__fileType_cropped.png
P301,A10,,,VALIDATION,IMAGE,11,saveTime_2510171055__sessionTime_202510170920__participant_P301__trialN_11__trialT_A10__fileType_cropped.png
P302,A11,,,VALIDATION,IMAGE,11,saveTime_2510171056__sessionTime_202510170920__participant_P302__trialN_11__trialT_A11__fileType_cropped.png
P303,A09,,,VALIDATION,IMAGE,11,saveTime_2510171056__sessionTime_202510170920__participant_P303__trialN_11__trialT_A09__fileType_cropped.png
P304,A12,,,VALIDATION,IMAGE,11,saveTime_2510171056__sessionTime_202510170920__participant_P304__trialN_11__trialT_A12__fileType_cropped.png
P305,A04,,,VALIDATION,IMAGE,11,saveTime_2510171056__sessionTime_202510170920__participant_P305__trialN_11__trialT_A04__fileType_cropped.png
P301,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,12,saveTime_2510171105__sessionTime_202510170920__participant_P301__trialN_12__trialT_5__fileType_cropped.png
P302,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,12,saveTime_2510171106__sessionTime_202510170920__participant_P302__trialN_12__trialT_5__fileType_cropped.png
P303,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,12,saveTime_2510171106__sessionTime_202510170920__participant_P303__trialN_12__trialT_5__fileType_cropped.png
P304,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,12,saveTime_2510171106__sessionTime_202510170920__participant_P304__trialN_12__trialT_5__fileType_cropped.png
P305,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,12,saveTime_2510171106__sessionTime_202510170920__participant_P305__trialN_12__trialT_5__fileType_cropped.png
P301,6,40 Hz,40.0,EXPERIMENTAL,LIGHT,13,saveTime_2510171108__sessionTime_202510170920__participant_P301__trialN_13__trialT_6__fileType_cropped.png
P302,6,40 Hz,40.0,EXPERIMENTAL,LIGHT,13,saveTime_2510171109__sessionTime_202510170920__participant_P302__trialN_13__trialT_6__fileType_cropped.png
P303,6,40 Hz,40.0,EXPERIMENTAL,LIGHT,13,saveTime_2510171109__sessionTime_202510170920__participant_P303__trialN_13__trialT_6__fileType_cropped.png
P304,6,40 Hz,40.0,EXPERIMENTAL,LIGHT,13,saveTime_2510171109__sessionTime_202510170920__participant_P304__trialN_13__trialT_6__fileType_cropped.png
P305,6,40 Hz,40.0,EXPERIMENTAL,LIGHT,13,saveTime_2510171109__sessionTime_202510170920__participant_P305__trialN_13__trialT_6__fileType_cropped.png
P302,6,40 Hz,40.0,EXPERIMENTAL,LIGHT,14,saveTime_2510171112__sessionTime_202510170920__participant_P302__trialN_14__trialT_6__fileType_cropped.png
P303,6,40 Hz,40.0,EXPERIMENTAL,LIGHT,14,saveTime_2510171112__sessionTime_202510170920__participant_P303__trialN_14__trialT_6__fileType_cropped.png
P304,6,40 Hz,40.0,EXPERIMENTAL,LIGHT,14,saveTime_2510171112__sessionTime_202510170920__participant_P304__trialN_14__trialT_6__fileType_cropped.png
P301,6,40 Hz,40.0,EXPERIMENTAL,LIGHT,14,saveTime_2510171112__sessionTime_202510170920__participant_P301__trialN_14__trialT_6__fileType_cropped.png
P305,6,40 Hz,40.0,EXPERIMENTAL,LIGHT,14,saveTime_2510171113__sessionTime_202510170920__participant_P305__trialN_14__trialT_6__fileType_cropped.png
P302,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,15,saveTime_2510171116__sessionTime_202510170920__participant_P302__trialN_15__trialT_3__fileType_cropped.png
P303,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,15,saveTime_2510171116__sessionTime_202510170920__participant_P303__trialN_15__trialT_3__fileType_cropped.png
P304,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,15,saveTime_2510171116__sessionTime_202510170920__participant_P304__trialN_15__trialT_3__fileType_cropped.png
P301,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,15,saveTime_2510171116__sessionTime_202510170920__participant_P301__trialN_15__trialT_3__fileType_cropped.png
P305,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,15,saveTime_2510171116__sessionTime_202510170920__participant_P305__trialN_15__trialT_3__fileType_cropped.png
P301,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,16,saveTime_2510171119__sessionTime_202510170920__participant_P301__trialN_16__trialT_1__fileType_cropped.png
P302,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,16,saveTime_2510171120__sessionTime_202510170920__participant_P302__trialN_16__trialT_1__fileType_cropped.png
P303,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,16,saveTime_2510171120__sessionTime_202510170920__participant_P303__trialN_16__trialT_1__fileType_cropped.png
P304,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,16,saveTime_2510171120__sessionTime_202510170920__participant_P304__trialN_16__trialT_1__fileType_cropped.png
P305,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,16,saveTime_2510171120__sessionTime_202510170920__participant_P305__trialN_16__trialT_1__fileType_cropped.png
P301,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,17,saveTime_2510171122__sessionTime_202510170920__participant_P301__trialN_17__trialT_1__fileType_cropped.png
P302,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,17,saveTime_2510171124__sessionTime_202510170920__participant_P302__trialN_17__trialT_1__fileType_cropped.png
P303,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,17,saveTime_2510171124__sessionTime_202510170920__participant_P303__trialN_17__trialT_1__fileType_cropped.png
P304,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,17,saveTime_2510171124__sessionTime_202510170920__participant_P304__trialN_17__trialT_1__fileType_cropped.png
P305,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,17,saveTime_2510171124__sessionTime_202510170920__participant_P305__trialN_17__trialT_1__fileType_cropped.png
P306,2,5 Hz,5.0,EXPERIMENTAL,LIGHT,2,saveTime_2510171332__sessionTime_202510171240__participant_P306__trialN_2__trialT_2__fileType_cropped.png
P307,2,5 Hz,5.0,EXPERIMENTAL,LIGHT,2,saveTime_2510171332__sessionTime_202510171240__participant_P307__trialN_2__trialT_2__fileType_cropped.png
P308,2,5 Hz,5.0,EXPERIMENTAL,LIGHT,2,saveTime_2510171332__sessionTime_202510171240__participant_P308__trialN_2__trialT_2__fileType_cropped.png
P309,2,5 Hz,5.0,EXPERIMENTAL,LIGHT,2,saveTime_2510171332__sessionTime_202510171240__participant_P309__trialN_2__trialT_2__fileType_cropped.png
P310,2,5 Hz,5.0,EXPERIMENTAL,LIGHT,2,saveTime_2510171332__sessionTime_202510171240__participant_P310__trialN_2__trialT_2__fileType_cropped.png
P306,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,3,saveTime_2510171336__sessionTime_202510171240__participant_P306__trialN_3__trialT_5__fileType_cropped.png
P307,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,3,saveTime_2510171336__sessionTime_202510171240__participant_P307__trialN_3__trialT_5__fileType_cropped.png
P308,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,3,saveTime_2510171336__sessionTime_202510171240__participant_P308__trialN_3__trialT_5__fileType_cropped.png
P309,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,3,saveTime_2510171336__sessionTime_202510171240__participant_P309__trialN_3__trialT_5__fileType_cropped.png
P310,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,3,saveTime_2510171336__sessionTime_202510171240__participant_P310__trialN_3__trialT_5__fileType_cropped.png
P310,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,4,saveTime_2510171339__sessionTime_202510171240__participant_P310__trialN_4__trialT_3__fileType_cropped.png
P307,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,4,saveTime_2510171340__sessionTime_202510171240__participant_P307__trialN_4__trialT_3__fileType_cropped.png
P308,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,4,saveTime_2510171340__sessionTime_202510171240__participant_P308__trialN_4__trialT_3__fileType_cropped.png
P309,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,4,saveTime_2510171340__sessionTime_202510171240__participant_P309__trialN_4__trialT_3__fileType_cropped.png
P306,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,5,saveTime_2510171355__sessionTime_202510171240__participant_P306__trialN_5__trialT_5__fileType_cropped.png
P310,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,5,saveTime_2510171355__sessionTime_202510171240__participant_P310__trialN_5__trialT_5__fileType_cropped.png
P307,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,5,saveTime_2510171356__sessionTime_202510171240__participant_P307__trialN_5__trialT_5__fileType_cropped.png
P308,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,5,saveTime_2510171356__sessionTime_202510171240__participant_P308__trialN_5__trialT_5__fileType_cropped.png
P309,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,5,saveTime_2510171356__sessionTime_202510171240__participant_P309__trialN_5__trialT_5__fileType_cropped.png
P307,2,5 Hz,5.0,EXPERIMENTAL,LIGHT,6,saveTime_2510171359__sessionTime_202510171240__participant_P307__trialN_6__trialT_2__fileType_cropped.png
P309,2,5 Hz,5.0,EXPERIMENTAL,LIGHT,6,saveTime_2510171359__sessionTime_202510171240__participant_P309__trialN_6__trialT_2__fileType_cropped.png
P310,2,5 Hz,5.0,EXPERIMENTAL,LIGHT,6,saveTime_2510171359__sessionTime_202510171240__participant_P310__trialN_6__trialT_2__fileType_cropped.png
P308,2,5 Hz,5.0,EXPERIMENTAL,LIGHT,6,saveTime_2510171400__sessionTime_202510171240__participant_P308__trialN_6__trialT_2__fileType_cropped.png
P306,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,7,saveTime_2510171403__sessionTime_202510171240__participant_P306__trialN_7__trialT_4__fileType_cropped.png
P310,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,7,saveTime_2510171403__sessionTime_202510171240__participant_P310__trialN_7__trialT_4__fileType_cropped.png
P307,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,7,saveTime_2510171404__sessionTime_202510171240__participant_P307__trialN_7__trialT_4__fileType_cropped.png
P308,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,7,saveTime_2510171404__sessionTime_202510171240__participant_P308__trialN_7__trialT_4__fileType_cropped.png
P309,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,7,saveTime_2510171404__sessionTime_202510171240__participant_P309__trialN_7__trialT_4__fileType_cropped.png
P306,6,40 Hz,40.0,EXPERIMENTAL,LIGHT,8,saveTime_2510171408__sessionTime_202510171240__participant_P306__trialN_8__trialT_6__fileType_cropped.png
P307,6,40 Hz,40.0,EXPERIMENTAL,LIGHT,8,saveTime_2510171408__sessionTime_202510171240__participant_P307__trialN_8__trialT_6__fileType_cropped.png
P310,6,40 Hz,40.0,EXPERIMENTAL,LIGHT,8,saveTime_2510171408__sessionTime_202510171240__participant_P310__trialN_8__trialT_6__fileType_cropped.png
P308,6,40 Hz,40.0,EXPERIMENTAL,LIGHT,8,saveTime_2510171409__sessionTime_202510171240__participant_P308__trialN_8__trialT_6__fileType_cropped.png
P309,6,40 Hz,40.0,EXPERIMENTAL,LIGHT,8,saveTime_2510171409__sessionTime_202510171240__participant_P309__trialN_8__trialT_6__fileType_cropped.png
P306,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,9,saveTime_2510171412__sessionTime_202510171240__participant_P306__trialN_9__trialT_1__fileType_cropped.png
P307,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,9,saveTime_2510171412__sessionTime_202510171240__participant_P307__trialN_9__trialT_1__fileType_cropped.png
P309,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,9,saveTime_2510171412__sessionTime_202510171240__participant_P309__trialN_9__trialT_1__fileType_cropped.png
P310,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,9,saveTime_2510171412__sessionTime_202510171240__participant_P310__trialN_9__trialT_1__fileType_cropped.png
P308,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,9,saveTime_2510171413__sessionTime_202510171240__participant_P308__trialN_9__trialT_1__fileType_cropped.png
P307,6,40 Hz,40.0,EXPERIMENTAL,LIGHT,10,saveTime_2510171415__sessionTime_202510171240__participant_P307__trialN_10__trialT_6__fileType_cropped.png
P306,6,40 Hz,40.0,EXPERIMENTAL,LIGHT,10,saveTime_2510171416__sessionTime_202510171240__participant_P306__trialN_10__trialT_6__fileType_cropped.png
P308,6,40 Hz,40.0,EXPERIMENTAL,LIGHT,10,saveTime_2510171416__sessionTime_202510171240__participant_P308__trialN_10__trialT_6__fileType_cropped.png
P309,6,40 Hz,40.0,EXPERIMENTAL,LIGHT,10,saveTime_2510171416__sessionTime_202510171240__participant_P309__trialN_10__trialT_6__fileType_cropped.png
P310,6,40 Hz,40.0,EXPERIMENTAL,LIGHT,10,saveTime_2510171417__sessionTime_202510171240__participant_P310__trialN_10__trialT_6__fileType_cropped.png
P310,A03,,,VALIDATION,IMAGE,11,saveTime_2510171419__sessionTime_202510171240__participant_P310__trialN_11__trialT_A03__fileType_cropped.png
P307,A04,,,VALIDATION,IMAGE,11,saveTime_2510171420__sessionTime_202510171240__participant_P307__trialN_11__trialT_A04__fileType_cropped.png
P306,A07,,,VALIDATION,IMAGE,11,saveTime_2510171420__sessionTime_202510171240__participant_P306__trialN_11__trialT_A07__fileType_cropped.png
P309,A01,,,VALIDATION,IMAGE,11,saveTime_2510171420__sessionTime_202510171240__participant_P309__trialN_11__trialT_A01__fileType_cropped.png
P308,A05,,,VALIDATION,IMAGE,11,saveTime_2510171421__sessionTime_202510171240__participant_P308__trialN_11__trialT_A05__fileType_cropped.png
P307,7,80 Hz,80.0,CONTROL,LIGHT,12,saveTime_2510171436__sessionTime_202510171240__participant_P307__trialN_12__trialT_7__fileType_cropped.png
P306,7,80 Hz,80.0,CONTROL,LIGHT,12,saveTime_2510171436__sessionTime_202510171240__participant_P306__trialN_12__trialT_7__fileType_cropped.png
P310,7,80 Hz,80.0,CONTROL,LIGHT,12,saveTime_2510171436__sessionTime_202510171240__participant_P310__trialN_12__trialT_7__fileType_cropped.png
P308,7,80 Hz,80.0,CONTROL,LIGHT,12,saveTime_2510171437__sessionTime_202510171240__participant_P308__trialN_12__trialT_7__fileType_cropped.png
P306,C14,,,VALIDATION,IMAGE,13,saveTime_2510171440__sessionTime_202510171240__participant_P306__trialN_13__trialT_C14__fileType_cropped.png
P307,C12,,,VALIDATION,IMAGE,13,saveTime_2510171441__sessionTime_202510171240__participant_P307__trialN_13__trialT_C12__fileType_cropped.png
P308,C09,,,VALIDATION,IMAGE,13,saveTime_2510171441__sessionTime_202510171240__participant_P308__trialN_13__trialT_C09__fileType_cropped.png
P310,C08,,,VALIDATION,IMAGE,13,saveTime_2510171441__sessionTime_202510171240__participant_P310__trialN_13__trialT_C08__fileType_cropped.png
P309,C09,,,VALIDATION,IMAGE,13,saveTime_2510171444__sessionTime_202510171240__participant_P309__trialN_13__trialT_C09__fileType_cropped.png
P306,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,14,saveTime_2510171445__sessionTime_202510171240__participant_P306__trialN_14__trialT_1__fileType_cropped.png
P310,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,14,saveTime_2510171445__sessionTime_202510171240__participant_P310__trialN_14__trialT_1__fileType_cropped.png
P307,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,14,saveTime_2510171446__sessionTime_202510171240__participant_P307__trialN_14__trialT_1__fileType_cropped.png
P308,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,14,saveTime_2510171446__sessionTime_202510171240__participant_P308__trialN_14__trialT_1__fileType_cropped.png
P306,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,15,saveTime_2510171449__sessionTime_202510171240__participant_P306__trialN_15__trialT_3__fileType_cropped.png
P309,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,14,saveTime_2510171449__sessionTime_202510171240__participant_P309__trialN_14__trialT_1__fileType_cropped.png
P307,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,15,saveTime_2510171450__sessionTime_202510171240__participant_P307__trialN_15__trialT_3__fileType_cropped.png
P308,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,15,saveTime_2510171450__sessionTime_202510171240__participant_P308__trialN_15__trialT_3__fileType_cropped.png
P310,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,15,saveTime_2510171450__sessionTime_202510171240__participant_P310__trialN_15__trialT_3__fileType_cropped.png
P307,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,16,saveTime_2510171453__sessionTime_202510171240__participant_P307__trialN_16__trialT_4__fileType_cropped.png
P309,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,15,saveTime_2510171453__sessionTime_202510171240__participant_P309__trialN_15__trialT_3__fileType_cropped.png
P310,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,16,saveTime_2510171453__sessionTime_202510171240__participant_P310__trialN_16__trialT_4__fileType_cropped.png
P308,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,16,saveTime_2510171454__sessionTime_202510171240__participant_P308__trialN_16__trialT_4__fileType_cropped.png
P306,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,16,saveTime_2510171454__sessionTime_202510171240__participant_P306__trialN_16__trialT_4__fileType_cropped.png
P306,B04,,,VALIDATION,IMAGE,17,saveTime_2510171456__sessionTime_202510171240__participant_P306__trialN_17__trialT_B04__fileType_cropped.png
P310,B14,,,VALIDATION,IMAGE,17,saveTime_2510171456__sessionTime_202510171240__participant_P310__trialN_17__trialT_B14__fileType_cropped.png
P307,B07,,,VALIDATION,IMAGE,17,saveTime_2510171457__sessionTime_202510171240__participant_P307__trialN_17__trialT_B07__fileType_cropped.png
P308,B02,,,VALIDATION,IMAGE,17,saveTime_2510171457__sessionTime_202510171240__participant_P308__trialN_17__trialT_B02__fileType_cropped.png
P311,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,2,saveTime_2510171518__sessionTime_202510171420__participant_P311__trialN_2__trialT_5__fileType_cropped.png
P312,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,2,saveTime_2510171518__sessionTime_202510171420__participant_P312__trialN_2__trialT_5__fileType_cropped.png
P313,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,2,saveTime_2510171518__sessionTime_202510171420__participant_P313__trialN_2__trialT_5__fileType_cropped.png
P314,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,2,saveTime_2510171519__sessionTime_202510171420__participant_P314__trialN_2__trialT_5__fileType_cropped.png
P315,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,2,saveTime_2510171519__sessionTime_202510171420__participant_P315__trialN_2__trialT_5__fileType_cropped.png
P311,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,3,saveTime_2510171522__sessionTime_202510171420__participant_P311__trialN_3__trialT_1__fileType_cropped.png
P312,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,3,saveTime_2510171522__sessionTime_202510171420__participant_P312__trialN_3__trialT_1__fileType_cropped.png
P314,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,3,saveTime_2510171522__sessionTime_202510171420__participant_P314__trialN_3__trialT_1__fileType_cropped.png
P313,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,3,saveTime_2510171522__sessionTime_202510171420__participant_P313__trialN_3__trialT_1__fileType_cropped.png
P315,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,3,saveTime_2510171522__sessionTime_202510171420__participant_P315__trialN_3__trialT_1__fileType_cropped.png
P311,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,4,saveTime_2510171525__sessionTime_202510171420__participant_P311__trialN_4__trialT_4__fileType_cropped.png
P312,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,4,saveTime_2510171526__sessionTime_202510171420__participant_P312__trialN_4__trialT_4__fileType_cropped.png
P314,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,4,saveTime_2510171526__sessionTime_202510171420__participant_P314__trialN_4__trialT_4__fileType_cropped.png
P313,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,4,saveTime_2510171526__sessionTime_202510171420__participant_P313__trialN_4__trialT_4__fileType_cropped.png
P315,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,4,saveTime_2510171526__sessionTime_202510171420__participant_P315__trialN_4__trialT_4__fileType_cropped.png
P311,C10,,,VALIDATION,IMAGE,5,saveTime_2510171530__sessionTime_202510171420__participant_P311__trialN_5__trialT_C10__fileType_cropped.png
