participant_code,condition_code,condition_name,condition_hz,condition_type,stimulus_type,trialn,png_filename
P386,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,8,saveTime_2510261431__sessionTime_202510261300__participant_P386__trialN_8__trialT_3__fileType_cropped.png
P387,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,8,saveTime_2510261431__sessionTime_202510261300__participant_P387__trialN_8__trialT_3__fileType_cropped.png
P388,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,8,saveTime_2510261431__sessionTime_202510261300__participant_P388__trialN_8__trialT_3__fileType_cropped.png
P389,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,9,saveTime_2510261434__sessionTime_202510261300__participant_P389__trialN_9__trialT_4__fileType_cropped.png
P390,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,9,saveTime_2510261434__sessionTime_202510261300__participant_P390__trialN_9__trialT_4__fileType_cropped.png
P386,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,9,saveTime_2510261435__sessionTime_202510261300__participant_P386__trialN_9__trialT_4__fileType_cropped.png
P387,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,9,saveTime_2510261435__sessionTime_202510261300__participant_P387__trialN_9__trialT_4__fileType_cropped.png
P388,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,9,saveTime_2510261435__sessionTime_202510261300__participant_P388__trialN_9__trialT_4__fileType_cropped.png
P389,6,40 Hz,40.0,EXPERIMENTAL,LIGHT,10,saveTime_2510261437__sessionTime_202510261300__participant_P389__trialN_10__trialT_6__fileType_cropped.png
P390,6,40 Hz,40.0,EXPERIMENTAL,LIGHT,10,saveTime_2510261438__sessionTime_202510261300__participant_P390__trialN_10__trialT_6__fileType_cropped.png
P386,6,40 Hz,40.0,EXPERIMENTAL,LIGHT,10,saveTime_2510261439__sessionTime_202510261300__participant_P386__trialN_10__trialT_6__fileType_cropped.png
P387,6,40 Hz,40.0,EXPERIMENTAL,LIGHT,10,saveTime_2510261439__sessionTime_202510261300__participant_P387__trialN_10__trialT_6__fileType_cropped.png
P388,6,40 Hz,40.0,EXPERIMENTAL,LIGHT,10,saveTime_2510261440__sessionTime_202510261300__participant_P388__trialN_10__trialT_6__fileType_cropped.png
P387,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,11,saveTime_2510261442__sessionTime_202510261300__participant_P387__trialN_11__trialT_5__fileType_cropped.png
P388,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,11,saveTime_2510261442__sessionTime_202510261300__participant_P388__trialN_11__trialT_5__fileType_cropped.png
P389,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,11,saveTime_2510261442__sessionTime_202510261300__participant_P389__trialN_11__trialT_5__fileType_cropped.png
P386,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,11,saveTime_2510261443__sessionTime_202510261300__participant_P386__trialN_11__trialT_5__fileType_cropped.png
P390,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,11,saveTime_2510261443__sessionTime_202510261300__participant_P390__trialN_11__trialT_5__fileType_cropped.png
P388,A05,,,VALIDATION,IMAGE,12,saveTime_2510261454__sessionTime_202510261300__participant_P388__trialN_12__trialT_A05__fileType_cropped.png
P389,A07,,,VALIDATION,IMAGE,12,saveTime_2510261454__sessionTime_202510261300__participant_P389__trialN_12__trialT_A07__fileType_cropped.png
P390,A04,,,VALIDATION,IMAGE,12,saveTime_2510261454__sessionTime_202510261300__participant_P390__trialN_12__trialT_A04__fileType_cropped.png
P387,A14,,,VALIDATION,IMAGE,12,saveTime_2510261455__sessionTime_202510261300__participant_P387__trialN_12__trialT_A14__fileType_cropped.png
P386,A02,,,VALIDATION,IMAGE,12,saveTime_2510261456__sessionTime_202510261300__participant_P386__trialN_12__trialT_A02__fileType_cropped.png
P387,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,13,saveTime_2510261458__sessionTime_202510261300__participant_P387__trialN_13__trialT_1__fileType_cropped.png
P388,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,13,saveTime_2510261458__sessionTime_202510261300__participant_P388__trialN_13__trialT_1__fileType_cropped.png
P389,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,13,saveTime_2510261458__sessionTime_202510261300__participant_P389__trialN_13__trialT_1__fileType_cropped.png
P386,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,13,saveTime_2510261459__sessionTime_202510261300__participant_P386__trialN_13__trialT_1__fileType_cropped.png
P390,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,13,saveTime_2510261459__sessionTime_202510261300__participant_P390__trialN_13__trialT_1__fileType_cropped.png
P389,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,14,saveTime_2510261501__sessionTime_202510261300__participant_P389__trialN_14__trialT_3__fileType_cropped.png
P386,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,14,saveTime_2510261502__sessionTime_202510261300__participant_P386__trialN_14__trialT_3__fileType_cropped.png
P387,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,14,saveTime_2510261502__sessionTime_202510261300__participant_P387__trialN_14__trialT_3__fileType_cropped.png
P388,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,14,saveTime_2510261502__sessionTime_202510261300__participant_P388__trialN_14__trialT_3__fileType_cropped.png
P390,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,14,saveTime_2510261502__sessionTime_202510261300__participant_P390__trialN_14__trialT_3__fileType_cropped.png
P389,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,15,saveTime_2510261505__sessionTime_202510261300__participant_P389__trialN_15__trialT_5__fileType_cropped.png
P386,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,15,saveTime_2510261506__sessionTime_202510261300__participant_P386__trialN_15__trialT_5__fileType_cropped.png
P387,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,15,saveTime_2510261506__sessionTime_202510261300__participant_P387__trialN_15__trialT_5__fileType_cropped.png
P388,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,15,saveTime_2510261506__sessionTime_202510261300__participant_P388__trialN_15__trialT_5__fileType_cropped.png
P390,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,15,saveTime_2510261507__sessionTime_202510261300__participant_P390__trialN_15__trialT_5__fileType_cropped.png
P389,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,16,saveTime_2510261509__sessionTime_202510261300__participant_P389__trialN_16__trialT_4__fileType_cropped.png
P386,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,16,saveTime_2510261510__sessionTime_202510261300__participant_P386__trialN_16__trialT_4__fileType_cropped.png
P387,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,16,saveTime_2510261510__sessionTime_202510261300__participant_P387__trialN_16__trialT_4__fileType_cropped.png
P388,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,16,saveTime_2510261510__sessionTime_202510261300__participant_P388__trialN_16__trialT_4__fileType_cropped.png
P390,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,16,saveTime_2510261510__sessionTime_202510261300__participant_P390__trialN_16__trialT_4__fileType_cropped.png
P386,2,5 Hz,5.0,EXPERIMENTAL,LIGHT,17,saveTime_2510261513__sessionTime_202510261300__participant_P386__trialN_17__trialT_2__fileType_cropped.png
P388,2,5 Hz,5.0,EXPERIMENTAL,LIGHT,17,saveTime_2510261513__sessionTime_202510261300__participant_P388__trialN_17__trialT_2__fileType_cropped.png
P389,2,5 Hz,5.0,EXPERIMENTAL,LIGHT,17,saveTime_2510261513__sessionTime_202510261300__participant_P389__trialN_17__trialT_2__fileType_cropped.png
P387,2,5 Hz,5.0,EXPERIMENTAL,LIGHT,17,saveTime_2510261514__sessionTime_202510261300__participant_P387__trialN_17__trialT_2__fileType_cropped.png
P390,2,5 Hz,5.0,EXPERIMENTAL,LIGHT,17,saveTime_2510261514__sessionTime_202510261300__participant_P390__trialN_17__trialT_2__fileType_cropped.png
P391,6,40 Hz,40.0,EXPERIMENTAL,LIGHT,2,saveTime_2510261652__sessionTime_202510261600__participant_P391__trialN_2__trialT_6__fileType_cropped.png
P392,6,40 Hz,40.0,EXPERIMENTAL,LIGHT,2,saveTime_2510261652__sessionTime_202510261600__participant_P392__trialN_2__trialT_6__fileType_cropped.png
P393,6,40 Hz,40.0,EXPERIMENTAL,LIGHT,2,saveTime_2510261652__sessionTime_202510261600__participant_P393__trialN_2__trialT_6__fileType_cropped.png
P394,6,40 Hz,40.0,EXPERIMENTAL,LIGHT,2,saveTime_2510261652__sessionTime_202510261600__participant_P394__trialN_2__trialT_6__fileType_cropped.png
P395,6,40 Hz,40.0,EXPERIMENTAL,LIGHT,2,saveTime_2510261653__sessionTime_202510261600__participant_P395__trialN_2__trialT_6__fileType_cropped.png
P396,6,40 Hz,40.0,EXPERIMENTAL,LIGHT,2,saveTime_2510261653__sessionTime_202510261600__participant_P396__trialN_2__trialT_6__fileType_cropped.png
P397,6,40 Hz,40.0,EXPERIMENTAL,LIGHT,2,saveTime_2510261653__sessionTime_202510261600__participant_P397__trialN_2__trialT_6__fileType_cropped.png
P398,6,40 Hz,40.0,EXPERIMENTAL,LIGHT,2,saveTime_2510261653__sessionTime_202510261600__participant_P398__trialN_2__trialT_6__fileType_cropped.png
P344453,6,40 Hz,40.0,EXPERIMENTAL,LIGHT,2,saveTime_2510261653__sessionTime_202510261600__participant_P344453__trialN_2__trialT_6__fileType_cropped.png
P344453,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,3,saveTime_2510261655__sessionTime_202510261600__participant_P344453__trialN_3__trialT_4__fileType_cropped.png
P396,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,3,saveTime_2510261656__sessionTime_202510261600__participant_P396__trialN_3__trialT_4__fileType_cropped.png
P392,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,3,saveTime_2510261656__sessionTime_202510261600__participant_P392__trialN_3__trialT_4__fileType_cropped.png
P391,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,3,saveTime_2510261657__sessionTime_202510261600__participant_P391__trialN_3__trialT_4__fileType_cropped.png
P395,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,3,saveTime_2510261657__sessionTime_202510261600__participant_P395__trialN_3__trialT_4__fileType_cropped.png
P397,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,3,saveTime_2510261657__sessionTime_202510261600__participant_P397__trialN_3__trialT_4__fileType_cropped.png
P393,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,3,saveTime_2510261657__sessionTime_202510261600__participant_P393__trialN_3__trialT_4__fileType_cropped.png
P394,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,3,saveTime_2510261657__sessionTime_202510261600__participant_P394__trialN_3__trialT_4__fileType_cropped.png
P398,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,3,saveTime_2510261657__sessionTime_202510261600__participant_P398__trialN_3__trialT_4__fileType_cropped.png
P344453,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,4,saveTime_2510261659__sessionTime_202510261600__participant_P344453__trialN_4__trialT_1__fileType_cropped.png
P391,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,4,saveTime_2510261700__sessionTime_202510261600__participant_P391__trialN_4__trialT_1__fileType_cropped.png
P392,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,4,saveTime_2510261700__sessionTime_202510261600__participant_P392__trialN_4__trialT_1__fileType_cropped.png
P393,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,4,saveTime_2510261700__sessionTime_202510261600__participant_P393__trialN_4__trialT_1__fileType_cropped.png
P394,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,4,saveTime_2510261700__sessionTime_202510261600__participant_P394__trialN_4__trialT_1__fileType_cropped.png
P395,1,2.5 Hz,2.5,EXPERIMENTAL,LIGHT,4,saveTime_2510261701__sessionTime_202510261600__participant_P395__trialN_4__trialT_1__fileType_cropped.png
