Feature,Signal_Exp,DT,DN,HT,HN,Total_Var,Signal_Exp_prop,DT_prop,DN_prop,HT_prop,HN_prop
detail,0.003550155032362,0.0,0.0427889455007034,0.0252200851134212,0.0,0.0715591856464866,0.049611451000858404,0.0,0.5979518228741084,0.35243672612503313,0.0
r_directionality,0.0057154356188892,0.0,0.0074373379491409,0.0133257289598421,0.047993070685593,0.0744715732134652,0.07674654062304397,0.0,0.09986814603503173,0.1789371217074366,0.6444481916344876
theta_directionality,0.0053709153335907,0.0,0.0059596891078554,0.011846859892512,0.0503212549982989,0.07349871933225699,0.07307495126970902,0.0,0.08108561838899718,0.16118457573331718,0.6846548546079767
brightness,0.0020303355338835,0.0,0.0103821455175132,0.0107904547654047,0.012003927413932402,0.0352068632307338,0.05766874261354589,0.0,0.2948898187683507,0.30648725206468214,0.34095418655342136
contrast,0.0007120233296478,0.0,0.002495829391534,0.005025715359881,0.0045367237536727,0.012770291834735499,0.055756230073856224,0.0,0.1954402784081476,0.3935474165289578,0.3552560749890385
