Feature,DT_plus_HT,DN_plus_HN
detail,0.028970722625323856,0.03539540646326038
r_directionality,0.0,0.05397366348177669
theta_directionality,0.0,0.049263327066051896
brightness,0.0,0.022245037454056024
contrast,0.0,0.006666865226843724
